,Name,Album,Artist,
0,Narrowleaf cattail,Typha angustifolia,Vegetables,Other vegetables
1,Jellyfish,Scyphozoa,Aquatic foods,Other aquatic foods
2,Anchovy,Engraulidae,Aquatic foods,Fishes
3,Blue whiting,Micromesistius poutassou,Aquatic foods,Fishes
4,Carp bream,Abramis brama,Aquatic foods,Fishes
5,Chanterelle,Cantharellus cibarius,Vegetables,Mushrooms
6,Sturgeon,Acipenseridae,Aquatic foods,Fishes
7,Charr,Salvelinus,Aquatic foods,Fishes
8,Cinnamon,Cinnamomum,Herbs and Spices,Spices
9,Crab,Brachyura,Aquatic foods,Crustaceans
10,Common dab,Limanda limanda,Aquatic foods,Fishes
11,Spiny dogfish,Squalus acanthias,Aquatic foods,Fishes
12,"Anatidae (Duck, Goose, Swan)",Anatidae,Animal foods,Poultry
13,Anguilliformes (Eel),Anguilliformes,Aquatic foods,Fishes
14,True frog,Ranidae,Aquatic foods,Amphibians
15,Garfish,Belone belone,Aquatic foods,Fishes
16,"Gadiformes (Cod, Hake)",Gadiformes,Aquatic foods,Fishes
17,Mountain hare,Lepus timidus,Animal foods,Lagomorphs
18,Lake trout,Salvelinus namaycush,Aquatic foods,Fishes
19,Lemon sole,Microstomus kitt,Aquatic foods,Fishes
20,Clawed lobster,Nephropidae,Aquatic foods,Crustaceans
21,Lumpsucker,Cyclopteridae,Aquatic foods,Fishes
22,"Scombridae (Bonito, Mackerel, Tuna)",Scombridae,Aquatic foods,Fishes
23,Marine mussel,Mytilidae,Aquatic foods,Mollusks
24,Norway haddock,Sebastes viviparus,Aquatic foods,Fishes
25,Norway lobster,Nephrops norvegicus,Aquatic foods,Crustaceans
26,Norway pout,Trisopterus esmarkii,Aquatic foods,Fishes
27,Oil palm,Elaeis,Herbs and Spices,Oilseed crops
28,True oyster,Ostreidae,Aquatic foods,Mollusks
29,Sago palm,Metroxylon sagu,Herbs and Spices,Oilseed crops
