,Name,Album,Artist,
0,Spearmint,Mentha spicata,Herbs and Spices,Herbs
1,Peppermint,Mentha X piperita,Herbs and Spices,Herbs
2,Medlar,Mespilus germanica,Fruits,Pomes
3,Bitter gourd,Momordica charantia,Gourds,Gourds
4,Mulberry,Morus,Fruits,Berries
5,Black mulberry,Morus nigra,Fruits,Berries
6,Nutmeg,Myristica fragrans,Herbs and Spices,Spices
7,Sweet basil,Ocimum basilicum,Herbs and Spices,Herbs
8,Evening primrose,Oenothera biennis,Herbs and Spices,Oilseed crops
9,Olive,Olea europaea,Vegetables,Fruit vegetables
10,Sweet marjoram,Origanum majorana,Herbs and Spices,Herbs
11,Pot marjoram,Origanum onites,Herbs and Spices,Herbs
12,Common oregano,Origanum vulgare,Herbs and Spices,Herbs
13,Rice,Oryza sativa,Cereals and cereal products,Cereals
14,Millet,Panicum miliaceum,Cereals and cereal products,Cereals
15,Poppy,Papaver,Herbs and Spices,Oilseed crops
16,Passion fruit,Passiflora edulis,Fruits,Tropical fruits
17,Parsnip,Pastinaca sativa,Vegetables,Root vegetables
18,Avocado,Persea americana,Vegetables,Fruit vegetables
19,Parsley,Petroselinum crispum,Herbs and Spices,Herbs
20,Scarlet bean,Phaseolus coccineus,Pulses,Beans
21,Lima bean,Phaseolus lunatus,Pulses,Beans
22,Common bean,Phaseolus vulgaris,Pulses,Beans
23,Date,Phoenix dactylifera,Fruits,Other fruits
24,Black chokeberry,Photinia melanocarpa,Fruits,Berries
25,Anise,Pimpinella anisum,Herbs and Spices,Herbs
26,Pine nut,Pinus,Nuts,Nuts
27,Pepper (Spice),Piper nigrum,Herbs and Spices,Spices
28,Pistachio,Pistacia vera,Nuts,Nuts
29,Common pea,Pisum sativum,Pulses,Peas
30,Purslane,Portulaca oleracea,Herbs and Spices,Herbs
31,"Prunus (Cherry, Plum)",Prunus,Fruits,Drupes
32,Apricot,Prunus armeniaca,Fruits,Drupes
33,Sweet cherry,Prunus avium,Fruits,Drupes
34,Sour cherry,Prunus cerasus,Fruits,Drupes
35,European plum,Prunus domestica,Fruits,Drupes
36,Almond,Prunus dulcis,Nuts,Nuts
37,Peach,Prunus persica,Fruits,Drupes
38,Guava,Psidium guajava,Fruits,Tropical fruits
39,Pomegranate,Punica granatum,Fruits,Tropical fruits
40,Pear,Pyrus communis,Fruits,Pomes
41,Radish,Raphanus sativus,Vegetables,Root vegetables
42,Garden rhubarb,Rheum rhabarbarum,Vegetables,Stalk vegetables
43,Blackcurrant,Ribes nigrum,Fruits,Berries
44,Redcurrant,Ribes rubrum,Fruits,Berries
45,Gooseberry,Ribes uva-crispa,Fruits,Berries
46,Watercress,Rorippa nasturtium-aquaticum,Herbs and Spices,Herbs
47,Rosemary,Rosmarinus officinalis,Herbs and Spices,Herbs
48,"Rubus (Blackberry, Raspberry)",Rubus,Fruits,Berries
49,Cloudberry,Rubus chamaemorus,Fruits,Berries
50,Red raspberry,Rubus idaeus,Fruits,Berries
51,Black raspberry,Rubus occidentalis,Fruits,Berries
52,Sorrel,Rumex acetosa,Herbs and Spices,Herbs
53,Common sage,Salvia officinalis,Herbs and Spices,Herbs
54,Black elderberry,Sambucus nigra,Fruits,Berries
55,Summer savory,Satureja hortensis,Herbs and Spices,Herbs
56,Winter savory,Satureja montana,Herbs and Spices,Herbs
57,Rye,Secale cereale,Cereals and cereal products,Cereals
58,Sesame,Sesamum orientale,Herbs and Spices,Oilseed crops
59,Garden tomato,Solanum lycopersicum,Vegetables,Fruit vegetables
60,Cherry tomato,Solanum lycopersicum var. cerasiforme,Vegetables,Fruit vegetables
61,Garden tomato (var.),Solanum lycopersicum var. lycopersicum,Vegetables,Fruit vegetables
62,Eggplant,Solanum melongena,Vegetables,Fruit vegetables
63,Potato,Solanum tuberosum,Vegetables,Tubers
64,Rowanberry,Sorbus aucuparia,Fruits,Berries
65,Sorghum,Sorghum bicolor,Cereals and cereal products,Cereals
66,Spinach,Spinacia oleracea,Vegetables,Leaf vegetables
67,Cloves,Syzygium aromaticum,Herbs and Spices,Spices
68,Tamarind,Tamarindus indica,Fruits,Tropical fruits
69,Dandelion,Taraxacum officinale,Herbs and Spices,Herbs
70,Cocoa bean,Theobroma cacao,Cocoa and cocoa products,Cocoa
71,Common thyme,Thymus vulgaris,Herbs and Spices,Herbs
72,Linden,Tilia,Herbs and Spices,Herbs
73,Small-leaf linden,Tilia cordata,Herbs and Spices,Herbs
74,Fenugreek,Trigonella foenum-graecum,Herbs and Spices,Herbs
75,Common wheat,Triticum aestivum,Cereals and cereal products,Cereals
76,"Vaccinium (Blueberry, Cranberry, Huckleberry)",Vaccinium,Fruits,Berries
77,Lowbush blueberry,Vaccinium angustifolium,Fruits,Berries
78,Sparkleberry,Vaccinium arboreum,Fruits,Berries
79,Highbush blueberry,Vaccinium corymbosum,Fruits,Berries
80,American cranberry,Vaccinium macrocarpon,Fruits,Berries
81,Bilberry,Vaccinium myrtillus,Fruits,Berries
82,Lingonberry,Vaccinium vitis-idaea,Fruits,Berries
83,Vanilla,Vanilla,Herbs and Spices,Spices
84,Common verbena,Verbena officinalis,Herbs and Spices,Herbs
85,Broad bean,Vicia faba,Pulses,Beans
86,Adzuki bean,Vigna angularis,Pulses,Beans
87,Gram bean,Vigna mungo,Pulses,Beans
88,Mung bean,Vigna radiata,Pulses,Beans
