,Name,Album,Artist,
0,Nectarine,Prunus persica var. nucipersica,Fruits,Drupes
1,Peach (var.),Prunus persica var. persica,Fruits,Drupes
2,Pepper (C. baccatum),Capsicum baccatum var. baccatum,Vegetables,Fruit vegetables
3,Pepper (C. chinense),Capsicum chinense,Vegetables,Fruit vegetables
4,Pepper (Capsicum),Capsicum,Vegetables,Fruit vegetables
5,Rambutan,Nephelium lappaceum,Fruits,Tropical fruits
6,Red rice,Oryza rufipogon,Cereals and cereal products,Cereals
7,Annual wild rice,Zizania aquatica,Cereals and cereal products,Cereals
8,Swiss chard,Beta vulgaris ssp. cicla,Vegetables,Leaf vegetables
9,Lemon thyme,Thymus pulegioides,Herbs and Spices,Herbs
10,Tronchuda cabbage,Brassica oleracea var. costata,Vegetables,Cabbages
11,Japanese walnut,Juglans ailanthifolia,Nuts,Nuts
12,Welsh onion,Allium fistulosum,Herbs and Spices,Herbs
13,Hard wheat,Triticum durum,Cereals and cereal products,Cereals
14,Shallot,Allium ascalonicum,Vegetables,Onion-family vegetables
15,Rocket salad,Eruca vesicaria,Vegetables,Leaf vegetables
16,Carrot,Daucus carota ssp. sativus,Vegetables,Root vegetables
17,Triticale,X Triticosecale rimpaui,Cereals and cereal products,Cereals
18,Black cabbage,Brassica oleracea var. viridis,Vegetables,Cabbages
19,Half-highbush blueberry,Vaccinium angustifolium X Vaccinium corymbosum,Fruits,Berries
20,Celery leaves,Apium graveolens var. secalinum,Herbs and Spices,Herbs
21,Chicory leaves,Cichorium intybus var. foliosum,Vegetables,Leaf vegetables
22,Komatsuna,Brassica rapa var. perviridis,Vegetables,Cabbages
23,Pak choy,Brassica rapa var. chinensis,Vegetables,Cabbages
24,Napa cabbage,Brassica rapa var. pekinensis,Vegetables,Cabbages
25,Chicory roots,Cichorium intybus var. sativum,Vegetables,Root vegetables
26,Grapefruit/Pummelo hybrid,Citrus paradisi X Citrus maxima,Fruits,Citrus
27,Grapefruit,Citrus X paradisi,Fruits,Citrus
28,Jostaberry,Ribes × nidigrolaria,Fruits,Berries
29,Kai-lan,Brassica oleracea var. alboglabra,Vegetables,Cabbages
30,Italian oregano,Origanum X majoricum,Herbs and Spices,Herbs
31,Oxheart cabbage,Brassica oleracea var. conica,Vegetables,Cabbages
32,Daikon radish,Raphanus sativus var. longipinnatus,Vegetables,Root vegetables
33,Black radish,Raphanus sativus var. niger,Vegetables,Root vegetables
34,Radish (var.),Raphanus sativus var. sativus,Vegetables,Root vegetables
35,Red beetroot,Beta vulgaris var. rubra,Vegetables,Root vegetables
36,Sweet rowanberry,Grataegosorbus mitschurinii,Fruits,Berries
37,Pineappple sage,Salvia elegans,Herbs and Spices,Herbs
38,Skunk currant,Ribes glandulosum,Fruits,Berries
39,Beer,NULL,Beverages,Fermented beverages
40,Other bread,NULL,Cereals and cereal products,Other breads
41,Breakfast cereal,NULL,Cereals and cereal products,Cereal products
42,Other soy product,NULL,Soy,Soy products
43,Other cereal product,NULL,Cereals and cereal products,Cereal products
44,Pasta,NULL,Cereals and cereal products,Cereal products
45,Biscuit,NULL,Cereals and cereal products,Cereal products
46,Sourdough,NULL,Cereals and cereal products,Doughs
47,Spirit,NULL,Beverages,Distilled beverages
48,Fortified wine,NULL,Beverages,Fortified wines
49,Other alcoholic beverage,NULL,Beverages,Alcoholic beverages
