label_id,std_dev_intensity,label,relFCs,eyes_open,smile_score
0,25,surprise,0.873142129,0,0.17
1,35,anger,0.852310783,0,0
2,29,anger,0.800956847,0,0.1
3,30,disgust,0.843079277,1,1
4,35,anger,0.849108466,1,1
5,23,anger,0.819448345,0,0.07
6,23,anger,0.852051857,0,0.04
7,35,anger,0.841488285,0,0.06
8,32,anger,0.823132555,0,0.09
9,42,anger,0.87243084,0,0.05
10,23,anger,0.812276164,0,0.05
11,19,anger,0.839111388,0,0.05
12,25,anger,0.753621739,1,1
13,20,disgust,0.870351186,1,1
14,48,fear,0.85717893,0,0
15,15,sad,0.821845602,0,0.01
16,50,disgust,0.826048741,1,1
17,25,disgust,0.830707839,0,1
18,30,anger,0.802395475,1,1
19,10,anger,0.78448821,1,1
20,40,anger,0.84724302,0,0.09
21,50,anger,0.736027242,0,0.07
22,21,anger,0.896066276,1,1
23,18,sad,0.792899629,0,0
24,21,anger,0.773249699,0,0.01
25,16,surprise,0.8255569,1,0.1
26,19,anger,0.789674855,0,0.05
27,22,anger,0.790853861,1,1
28,49,anger,0.79587701,1,1
29,28,anger,0.844232987,1,1
30,20,sad,0.853797979,0,1
31,23,disgust,0.789715391,0,0.23
32,22,surprise,0.712504,1,1
33,21,anger,0.749910765,0,0
34,21,anger,0.811549689,0,0.98
35,12,anger,0.719141968,0,0.12
36,60,anger,0.763828101,0,1
37,55,disgust,0.762954441,0,0.07
38,45,anger,0.847673049,1,1
39,35,anger,0.798581856,0,0.05
40,22,anger,0.793236675,0,0.25
41,23,anger,0.877193742,0,0.04
42,25,anger,0.778122046,1,0.81
43,30,sad,0.793992158,0,0.01
44,23,disgust,0.715370254,1,1
45,32,anger,0.824846385,0,0.04
46,42,anger,0.809063703,0,0.31
47,23,anger,0.825676119,1,1
48,15,fear,0.833684154,1,1
49,15,anger,0.899469089,0,0.02
50,25,anger,0.83337301,1,1
51,22,anger,0.873300986,0,0.02
52,35,anger,0.87000222,0,0.01
53,19,anger,0.88074101,1,1
54,60,anger,0.831748379,0,0.96
55,23,anger,0.851432897,0,0.88
56,32,anger,0.804518478,0,1
57,42,anger,0.800680455,0,0.04
58,23,sad,0.737012209,0,0.23
59,15,anger,0.819963545,0,1
60,15,anger,0.88529577,1,0.25
61,15,anger,0.882504519,0,0.02
62,12,contempt,0.831404657,0,0
63,29,anger,0.86430371,1,1
64,31,anger,0.795922075,0,0.04
65,29,fear,0.858597981,1,0.39
66,17,neutral,0.815683051,0,0
67,19,anger,0.796124322,0,0.26
68,20,anger,0.864800275,0,0.02
69,32,contempt,0.840950342,0,0.08
